reward/env_0,reward/env_1,time/total_timesteps,eval/mean_reward,eval/success_rate,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/explained_variance
,,64000,-221.6561773,0.0,85.7,,,,,,,,,,,
-428.953045725614,,,,,,,,,,,,,,,,
,182.46778894169785,,,,,,,,,,,,,,,
-357.2688088975665,,,,,,,,,,,,,,,,
,-366.06865163946816,,,,,,,,,,,,,,,
,,66000,-121.95778290000001,0.0,82.0,13422.39560546875,0.0003,-8.459743309020997,0.990405261516571,6453.35498046875,-0.0015107146464288235,0.2,0.0021728515625,160,0.0034072422,-0.00023674964904785156
-366.57212385403994,,,,,,,,,,,,,,,,
,-330.3852876686038,,,,,,,,,,,,,,,
-145.44470920965654,,,,,,,,,,,,,,,,
,-231.9851130402054,,,,,,,,,,,,,,,
-47.255684056783096,,,,,,,,,,,,,,,,
,,68000,-40.33034700000002,0.1,78.0,,,,,,,,,,,
,-150.18726513457563,,,,,,,,,,,,,,,
-218.58491159315858,,,,,,,,,,,,,,,,
,-325.0390161111948,,,,,,,,,,,,,,,
-244.9187600487863,,,,,,10449.31552734375,0.0003,-8.451298046112061,0.9889742732048035,5287.90869140625,-0.004111169592943042,0.2,0.0339599609375,170,0.0091727525,-0.00048470497131347656
,,70000,-51.9508793,0.0,87.1,,,,,,,,,,,
,-372.90151619191,,,,,,,,,,,,,,,
-3.8011573750673278,,,,,,,,,,,,,,,,
,-260.43717396650806,,,,,,,,,,,,,,,
-130.5785916430641,,,,,,,,,,,,,,,,
,,72000,326.247322,0.3,79.6,,,,,,,,,,,
,222.14707394985504,,,,,,,,,,,,,,,
-161.4994384886826,,,,,,,,,,,,,,,,
,-8.190302396876655,,,,,,,,,,,,,,,
-289.2619877857438,,,,,,16671.926318359376,0.0003,-8.443107223510742,0.988003671169281,9015.5419921875,-0.0029923717956990004,0.2,0.0743408203125,180,0.006196107,-0.00010967254638671875
,265.4791474586526,,,,,,,,,,,,,,,
,,74000,141.8950203,0.2,74.3,,,,,,,,,,,
139.90736508668826,,,,,,,,,,,,,,,,
,-210.37836782993108,,,,,,,,,,,,,,,
-561.5635743105782,,,,,,,,,,,,,,,,
,-424.98571055191223,,,,,,,,,,,,,,,
