reward/env_0,reward/env_1,train/loss,train/std,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward
-114.37266327630331,,1493.2230224609375,0.9583941102027893,0.008193143,0.1595703125,0.0003,-3.5762786865234375e-07,240,0.2,-8.263980311155319,0.0007931001644465141,4062.722791290283,,,,
,-214.19700860776248,,,,,,,,,,,,,,,
262.3717801789366,,,,,,,,,,,,,,,,
,48.37496052020401,,,,,,,,,,,,,,,
14.999914566208341,,,,,,,,,,,,,,,,
,-81.59648035590881,,,,,,,,,,,,,,,
-159.12955405312726,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,102000,0.08,71.16,27.97055957
,-125.51869825476476,,,,,,,,,,,,,,,
-264.38696771579845,,,,,,,,,,,,,,,,
,-329.2445098926673,7306.1025390625,0.9581298828125,0.007944874,0.1043701171875,0.0003,-1.430511474609375e-06,250,0.2,-8.257684230804443,-0.00509268435780541,15866.972994995118,,,,
-59.58365832957988,,,,,,,,,,,,,,,,
,161.58011537732824,,,,,,,,,,,,,,,
232.01792392952785,,,,,,,,,,,,,,,,
,147.54392523645058,,,,,,,,,,,,,,,
-240.67475218585827,,,,,,,,,,,,,,,,
,201.56159239764344,,,,,,,,,,,,,,,
129.18836705098263,,,,,,,,,,,,,,,,
,-179.935843923537,13274.576171875,0.957105815410614,0.0025031622,0.0010009765625,0.0003,-1.0728836059570312e-06,260,0.2,-8.253314310312271,-0.0013558346792706289,22483.598254394532,,,,
-185.19540706131448,,,,,,,,,,,,,,,,
,140.07059471193458,,,,,,,,,,,,,,,
,,,,,,,,,,,,,108000,0.54,61.72,625.90712245
66.89026124799628,,,,,,,,,,,,,,,,
,191.94186073613787,,,,,,,,,,,,,,,
-342.500391433934,,,,,,,,,,,,,,,,
,297.7721092608924,,,,,,,,,,,,,,,
-144.42723472506978,,,,,,,,,,,,,,,,
,-331.506560743818,10092.8662109375,0.9547157287597656,0.0060603553,0.0909423828125,0.0003,3.5762786865234375e-07,270,0.2,-8.241537708044053,-0.002993104279448744,16600.21256713867,,,,
-31.746760033808975,,,,,,,,,,,,,,,,
,-106.59760074233452,,,,,,,,,,,,,,,
-169.0394800641515,,,,,,,,,,,,,,,,
,206.73140092690574,,,,,,,,,,,,,,,
-375.9323269972944,,,,,,,,,,,,,,,,
,94.91638663165597,,,,,,,,,,,,,,,
-132.34931533018923,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,114000,0.39,64.48,502.2028000000001
,-135.44561877216088,,,,,,,,,,,,,,,
-88.34000711838897,,2266.65087890625,0.9488676190376282,0.0058805346,0.179931640625,0.0003,-1.1920928955078125e-07,280,0.2,-8.20765226483345,-0.0036300296109402553,7324.175971984863,,,,
,51.96562977480414,,,,,,,,,,,,,,,
173.18312185126973,,,,,,,,,,,,,,,,
,-276.05240390709395,,,,,,,,,,,,,,,
367.79136521096626,,,,,,,,,,,,,,,,
,-8.31544329249536,,,,,,,,,,,,,,,
-121.51616114759322,,,,,,,,,,,,,,,,
,310.55978505064894,,,,,,,,,,,,,,,
-172.55481401053444,,,,,,,,,,,,,,,,
,114.52521486273304,13903.9189453125,0.9485747218132019,0.005114833,0.0281494140625,0.0003,-5.960464477539062e-07,290,0.2,-8.195740288496017,-0.0021007856543292292,24944.669519042967,,,,
-71.26011248710643,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,120000,0.5,60.88,599.83653337
,13.002321564616508,,,,,,,,,,,,,,,
73.51431054557627,,,,,,,,,,,,,,,,
,-146.72850694540688,,,,,,,,,,,,,,,
-85.03265790997699,,,,,,,,,,,,,,,,
